acousticness,album,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence,class
0.0198,Gimme Fiction,https://api.spotify.com/v1/audio-analysis/5fQYvCtfbSHEcjf3Sex34y,0.927,0.37336833006779296,0.369,5fQYvCtfbSHEcjf3Sex34y,0.000303,10,0.088,0.30253567395544606,1,I Turn My Camera On,0.0383,0.49238319089720006,4,https://api.spotify.com/v1/tracks/5fQYvCtfbSHEcjf3Sex34y,audio_features,spotify:track:5fQYvCtfbSHEcjf3Sex34y,0.772,0
5.24e-05,The Best Of,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,0.443,0.3641684842787557,0.956,2JO3HwMRPeya8bXbtbyPcf,0.825,2,0.135,0.21209321424905042,1,Love Will Tear Us Apart,0.0511,0.7216250504017386,4,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,audio_features,spotify:track:2JO3HwMRPeya8bXbtbyPcf,0.909,0
0.11,An Awesome Wave (Deluxe Version),https://api.spotify.com/v1/audio-analysis/33OdSmu4AdBViAXDbCEqK3,0.609,0.39975143164458243,0.642,33OdSmu4AdBViAXDbCEqK3,0.000986,5,0.172,0.2510693631728433,1,Breezeblocks,0.0341,0.7380142206661879,4,https://api.spotify.com/v1/tracks/33OdSmu4AdBViAXDbCEqK3,audio_features,spotify:track:33OdSmu4AdBViAXDbCEqK3,0.296,0
0.000139,Silent Alarm (U.S. Version),https://api.spotify.com/v1/audio-analysis/2YxXuCdbUpil3P7tRjhW1t,0.578,0.3461173517259833,0.892,2YxXuCdbUpil3P7tRjhW1t,0.0111,10,0.215,0.27211443041439964,0,Banquet,0.0441,0.738830482971588,4,https://api.spotify.com/v1/tracks/2YxXuCdbUpil3P7tRjhW1t,audio_features,spotify:track:2YxXuCdbUpil3P7tRjhW1t,0.892,0
0.0714,Oracular Spectacular,https://api.spotify.com/v1/audio-analysis/3FtYbEfBqAlGO46NUDQSAt,0.763,0.4042580533858636,0.807,3FtYbEfBqAlGO46NUDQSAt,0.28,1,0.348,0.12709167436608151,1,Electric Feel,0.035,0.5066628639988985,3,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt,audio_features,spotify:track:3FtYbEfBqAlGO46NUDQSAt,0.559,0
0.0032,It's All Around You,https://api.spotify.com/v1/audio-analysis/7DKrKzipnL35PcDqdCGrrq,0.416,0.43986564633933806,0.559,7DKrKzipnL35PcDqdCGrrq,0.925,4,0.101,0.41700030797659376,1,It's All Around You,0.0424,0.983733760805641,4,https://api.spotify.com/v1/tracks/7DKrKzipnL35PcDqdCGrrq,audio_features,spotify:track:7DKrKzipnL35PcDqdCGrrq,0.139,0
0.0684,Millions Now Living Will Never Die,https://api.spotify.com/v1/audio-analysis/4yQXy99u7RnPoGedBT2XB0,0.386,0.5771063615542916,0.398,4yQXy99u7RnPoGedBT2XB0,0.799,2,0.146,0.4191561441330459,1,Glass Museum,0.039,0.7460539126500988,3,https://api.spotify.com/v1/tracks/4yQXy99u7RnPoGedBT2XB0,audio_features,spotify:track:4yQXy99u7RnPoGedBT2XB0,0.0881,0
0.126,Disappointment Island,https://api.spotify.com/v1/audio-analysis/6a76vVSWwjhLHCh2uV8XK3,0.43,0.45099136876312595,0.545,6a76vVSWwjhLHCh2uV8XK3,0.00539,10,0.187,0.29658145980905454,1,In Praise of Idleness,0.031,0.6402889371871403,4,https://api.spotify.com/v1/tracks/6a76vVSWwjhLHCh2uV8XK3,audio_features,spotify:track:6a76vVSWwjhLHCh2uV8XK3,0.587,0
0.321,Disappointment Island,https://api.spotify.com/v1/audio-analysis/3iV0hDpxooBMmwPEKOukJf,0.427,0.5935132813311434,0.603,3iV0hDpxooBMmwPEKOukJf,0.168,10,0.204,0.31430722376210524,1,"Whatever, Whenever",0.031,0.6087694108159672,4,https://api.spotify.com/v1/tracks/3iV0hDpxooBMmwPEKOukJf,audio_features,spotify:track:3iV0hDpxooBMmwPEKOukJf,0.197,0
0.000239,A Dream in Static,https://api.spotify.com/v1/audio-analysis/4YhSKBLzwCHt26wvDUsVTz,0.418,0.8022490859127581,0.905,4YhSKBLzwCHt26wvDUsVTz,0.13,5,0.0413,0.21151148068302367,1,A Dream in Static (feat. Daniel Tompkins),0.0746,0.8850742011939065,3,https://api.spotify.com/v1/tracks/4YhSKBLzwCHt26wvDUsVTz,audio_features,spotify:track:4YhSKBLzwCHt26wvDUsVTz,0.255,0
